OFFER,RETAILER,BRAND,,,
Wonderworks™ Keto* Friendly Cereal,AMAZON,WONDERWORKS,,,
"SKITTLES®, select varieties",CASEYS GENERAL STORE,SKITTLES,,,
"BallPark® buns, buy 2",H-E-B,BALL PARK POP UPS,,,
"ORBIT®, select sizes, buy 1",PAVILIONS,ORBIT,,,
"Molson Coors®, select varieties, 12 Pack+, buy 2",RANDALLS,TOPO CHICO HARD SELTZER,,,
"Thomas'®, select varieties, spend $10",SAFEWAY,THOMAS,,,
"EXTRA®, select sizes",TARGET,EXTRA,,,
Brita® Standard OR Elite Filters,WALMART,BRITA,,,
"Barilla® pasta, select varieties, buy 3",PAVILIONS,BARILLA,,,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",AMAZON,VIZZY,,,
"GOYA® Adobo Seasoning, 8 ounce+",CASEYS GENERAL STORE,GOYA,,,
"Sara Lee® or Alfaros® Artesano bread, buy 2",H-E-B,ALFAROS,,,
"Häagen-Dazs®, 28 ounce, at GROCERY* stores",PAVILIONS,HAAGEN DAZS,,,
"Glad® Trash Bags, 4 OR 8 Gallon",RANDALLS,GLAD,,,
Tostitos® Toppers™,SAFEWAY,TOSTITOS,,,
:ratio™ KETO* Friendly Cereal OR Granola,TARGET,RATIO,,,
"Bio-Oil® products, select varieties",WALMART,BIO OIL,,,
"André® California, Champagne OR Sparkling Wines, 750mL bottle",PAVILIONS,ANDRE,,,
"Any General Mills™ products, spend $50",AMAZON,ANNIES HOMEGROWN,,,
Chosen Foods® Dressings,CASEYS GENERAL STORE,CHOSEN FOODS,,,
Degree for Men OR Women Dry Spray,H-E-B,DEGREE,,,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",PAVILIONS,VIZZY,,,
"Sargento Sliced Cheese, spend $18",RANDALLS,SARGENTO,,,
"SKITTLES®, select sizes",SAFEWAY,SKITTLES,,,
"LIFESAVERS®, any size, buy 1",TARGET,LIFESAVERS,,,
"Brownie Brittle® Snacks, select varieties, buy 2",WALMART,BROWNIE BRITTLE,,,
Cheerios™ Oat Crunch Berry Cereal,PAVILIONS,CHEERIOS,,,
Glad® ForceFlex Max Strength Trash Bags,AMAZON,GLAD,,,
Arnold® Grains Almighty,CASEYS GENERAL STORE,ARNOLD BROWNBERRY OROWEAT,,,
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",H-E-B,HIDDEN VALLEY RANCH,,,
"General Mills™ snacks, select brands, spend $10",PAVILIONS,BUGLES,,,
"Barilla® pasta, select varieties, buy 4",RANDALLS,BARILLA,,,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",SAFEWAY,VIZZY,,,
"Welch's® Fruit Snacks, select varieties, 6 count+",TARGET,WELCHS FRUIT SNACKS,,,
"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",WALMART,BEN AND JERRYS,,,
"ORBIT®, select varieties",PAVILIONS,ORBIT,,,
Hellmann's | Best Foods Vegan Dressing or Spread,AMAZON,HELLMANNS BEST FOODS,,,
"Rao's®, Pasta OR Sauce, spend $10",CASEYS GENERAL STORE,RAO'S,,,
"Sara Lee® or Alfaros® Artesano bread, spend $20",H-E-B,ALFAROS,,,
The Rustik Oven® bread,PAVILIONS,RUSTIK OVEN,,,
Nature Valley™ Protein Granola,RANDALLS,NATURE VALLEY,,,
Brita® Pitcher OR Dispenser,SAFEWAY,BRITA,,,
"Sir Kensington's® Condiments, buy 2",TARGET,SIR KENSINGTONS,,,
"Barilla® pasta, select varieties, buy 2",WALMART,BARILLA,,,
Ben & Jerry's® Churray For Churros™ Ice Cream,PAVILIONS,BEN AND JERRYS,,,
Sir Kensington's® Condiments,AMAZON,SIR KENSINGTONS,,,
Cameron’s Coffee EcoPods,CASEYS GENERAL STORE,CAMERON'S COFFEE,,,
"Sara Lee® Delightful bread, buy 2",H-E-B,SARA LEE,,,
"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",PAVILIONS,WELCHS FRUIT SNACKS,,,
"Jack Link's®, select varieties",RANDALLS,JACK LINKS,,,
"STARBURST®, select varieties",SAFEWAY,STARBURST,,,
"Super Coffee, 12 ounce single serve",TARGET,SUPER COFFEE,,,
Simply Organic Seasoning Mixes OR Spices,WALMART,SIMPLY ORGANIC,,,
Sargento Product,PAVILIONS,SARGENTO,,,
Thomas'® Bagel Thins,SAFEWAY,THOMAS,,,
